row_number,Topic,Status,Title,Script,Description,Tags,VideoID,PublishAt,Notes
2,ABC Song - Learn the Alphabet,PENDING,,,,,,,"First video — highest search volume on all of kids YouTube"
3,Colors Song - Red Blue Yellow Green,PENDING,,,,,,,"Second most searched kids topic"
4,Numbers Song - Count 1 to 10,PENDING,,,,,,,
5,Shapes Song - Circle Square Triangle,PENDING,,,,,,,
6,Animal Sounds Song - What Does the Dog Say,PENDING,,,,,,,
7,Good Morning Song - Wake Up Routine,PENDING,,,,,,,
8,Bath Time Song - Splish Splash Clean,PENDING,,,,,,,
9,Goodnight Song - Bedtime Lullaby,PENDING,,,,,,,
10,Days of the Week Song - Monday to Sunday,PENDING,,,,,,,
11,Seasons Song - Spring Summer Fall Winter,PENDING,,,,,,,
12,Fruits Song - Apple Banana Orange Grape,PENDING,,,,,,,
13,Vegetables Song - Carrot Peas Broccoli,PENDING,,,,,,,
14,Numbers Song - Count 11 to 20,PENDING,,,,,,,
15,Colors Song Part 2 - Brown Purple Pink Orange,PENDING,,,,,,,
16,Emotions Song - Happy Sad Angry Scared,PENDING,,,,,,,
17,Body Parts Song - Head Shoulders Knees Toes,PENDING,,,,,,,
18,Farm Animals Song - Cow Pig Chicken Horse,PENDING,,,,,,,
19,Ocean Animals Song - Fish Shark Dolphin Whale,PENDING,,,,,,,
20,Phonics Song - Letter Sounds A to Z,PENDING,,,,,,,
21,Please and Thank You Song - Good Manners,PENDING,,,,,,,
22,Sharing is Caring Song,PENDING,,,,,,,
23,Washing Hands Song - Stay Healthy,PENDING,,,,,,,
24,Brush Your Teeth Song - Bedtime Routine,PENDING,,,,,,,
25,Transportation Song - Car Bus Train Airplane,PENDING,,,,,,,
26,Weather Song - Sunny Rainy Cloudy Snowy,PENDING,,,,,,,
27,Opposites Song - Big Small Hot Cold Up Down,PENDING,,,,,,,
28,Dinosaur Song - Trex Stegosaurus Brachiosaurus,PENDING,,,,,,,
29,Space Song - Sun Moon Stars Planets,PENDING,,,,,,,
30,Months of the Year Song - January to December,PENDING,,,,,,,
31,Jungle Animals Song - Lion Tiger Elephant Giraffe,PENDING,,,,,,,
32,Food Song - Pizza Sandwich Soup Ice Cream,PENDING,,,,,,,
